date,hospital,icu,ventilator
2020-03-12,17,2,
2020-03-13,21,4,
2020-03-14,28,3,
2020-03-15,31,3,
2020-03-16,32,3,
2020-03-17,34,5,
2020-03-18,43,6,
2020-03-19,45,6,
2020-03-20,55,9,
2020-03-21,56,9,
2020-03-22,55,10,
2020-03-23,64,10,
2020-03-24,72,14,
2020-03-25,98,17,
2020-03-26,90,22,
2020-03-27,90,25,
2020-03-28,101,23,
2020-03-29,115,28,
2020-03-30,119,28,
2020-03-31,119,31,
2020-04-01,112,29,
2020-04-02,112,30,
2020-04-03,109,31,
2020-04-04,108,31,
2020-04-05,114,30,
2020-04-06,111,31,
2020-04-07,111,35,
2020-04-08,108,34,
2020-04-09,106,36,
2020-04-10,94,37,
2020-04-11,95,35,
2020-04-12,95,34,
2020-04-13,103,35,
2020-04-14,96,34,
2020-04-15,99,31,
2020-04-16,95,28,
2020-04-17,93,27,
2020-04-18,90,26,
2020-04-19,88,26,
2020-04-20,87,25,
2020-04-21,82,24,
2020-04-22,80,23,
2020-04-23,78,24,
2020-04-24,77,23,
2020-04-25,80,23,
2020-04-26,80,22,
2020-04-27,78,24,
2020-04-28,73,25,
2020-04-29,63,22,
2020-04-30,58,21,
2020-05-01,60,21,
2020-05-02,59,21,
2020-05-03,58,20,
2020-05-04,56,17,
2020-05-05,53,14,
2020-05-06,52,13,
2020-05-07,47,12,
2020-05-08,43,10,
2020-05-09,41,10,
2020-05-10,42,10,
2020-05-11,40,9,
2020-05-12,38,9,
2020-05-13,32,7,
2020-05-14,29,7,
2020-05-15,27,6,
2020-05-16,26,5,
2020-05-17,25,5,
2020-05-18,24,5,
2020-05-19,23,4,
2020-05-20,21,3,
2020-05-21,21,4,
2020-05-22,19,4,
2020-05-23,18,4,
2020-05-24,16,3,
2020-05-25,9,2,
2020-05-26,8,2,
2020-05-27,7,2,
2020-05-28,7,2,
2020-05-29,7,2,
2020-05-30,6,2,
2020-05-31,5,1,
2020-06-01,5,1,
2020-06-02,5,0,
2020-06-03,5,0,
2020-06-04,6,0,
2020-06-05,6,0,
2020-06-06,5,0,
2020-06-07,5,0,
2020-06-08,6,0,
2020-06-09,6,0,
2020-06-10,6,0,
2020-06-11,6,0,
2020-06-12,6,0,
2020-06-13,6,0,
2020-06-14,0,0,
2020-06-15,0,0,
2020-06-16,7,1,
2020-06-17,6,1,
2020-06-18,8,1,
2020-06-19,6,1,
2020-06-20,6,1,
2020-06-21,6,1,
2020-06-22,5,1,
2020-06-23,7,2,
2020-06-24,7,2,
2020-06-25,8,2,
2020-06-26,8,1,
2020-06-27,7,0,
2020-06-28,8,0,
2020-06-29,8,0,
2020-06-30,8,0,
2020-07-01,9,0,
2020-07-02,10,0,
2020-07-03,6,0,
2020-07-04,6,0,
2020-07-05,11,0,
2020-07-06,12,0,
2020-07-07,14,0,
2020-07-08,15,0,
2020-07-09,16,0,
2020-07-10,16,0,
2020-07-11,16,0,
2020-07-12,17,1,
2020-07-13,17,1,
2020-07-14,16,1,
2020-07-15,18,1,
2020-07-16,19,1,
2020-07-17,19,2,
2020-07-18,18,2,
2020-07-19,19,3,
2020-07-20,22,3,
2020-07-21,22,2,
2020-07-22,24,2,
2020-07-23,23,2,
2020-07-24,19,4,
2020-07-25,21,4,
2020-07-26,20,3,
2020-07-27,17,3,
2020-07-28,21,4,
2020-07-29,22,5,
2020-07-30,24,5,
2020-07-31,22,5,
2020-08-01,22,2,
2020-08-03,22,2,
2020-08-04,22,3,
2020-08-05,24,3,
2020-08-06,24,4,
2020-08-07,22,3,
2020-08-08,24,3,
2020-08-09,24,2,
2020-08-10,23,2,
2020-08-11,23,2,
2020-08-12,19,2,
2020-08-13,18,3,
2020-08-14,16,3,
2020-08-15,17,4,
2020-08-16,19,3,
2020-08-17,16,3,
2020-08-18,17,3,
2020-08-19,17,2,
2020-08-20,18,2,
2020-08-21,18,0,
2020-08-22,17,0,
2020-08-23,17,0,
2020-08-24,17,0,
2020-08-25,20,0,
2020-08-26,23,0,
2020-08-27,22,1,
2020-08-28,23,2,
2020-08-29,24,2,
2020-08-30,25,3,
2020-08-31,25,2,
2020-09-01,26,4,
2020-09-02,26,4,
2020-09-03,24,3,
2020-09-04,22,3,
2020-09-05,23,3,
2020-09-06,26,4,
2020-09-07,28,4,
2020-09-08,33,4,
2020-09-09,26,5,
2020-09-10,27,5,
2020-09-11,26,5,
2020-09-12,31,6,
2020-09-13,40,9,
2020-09-14,50,10,
2020-09-15,61,11,
2020-09-16,62,11,
2020-09-17,67,11,
2020-09-18,67,10,
2020-09-19,66,13,
2020-09-20,70,14,
2020-09-21,71,13,
2020-09-22,65,10,
2020-09-23,63,13,
