date,hospital,icu,ventilator
2020-02-28,1,0,
2020-02-29,1,0,
2020-03-01,1,0,
2020-03-02,0,0,
2020-03-03,0,0,
2020-03-04,0,0,
2020-03-05,1,0,
2020-03-06,1,0,
2020-03-07,1,0,
2020-03-08,1,0,
2020-03-09,1,0,
2020-03-10,0,0,
2020-03-11,1,0,
2020-03-12,2,0,
2020-03-13,2,0,
2020-03-14,3,1,
2020-03-15,3,2,
2020-03-16,4,2,
2020-03-17,5,2,
2020-03-18,6,0,
2020-03-19,6,1,
2020-03-20,10,1,
2020-03-21,12,1,
2020-03-22,13,0,
2020-03-23,13,2,
2020-03-24,17,2,
2020-03-25,18,3,
2020-03-26,20,6,
2020-03-27,20,6,
2020-03-28,26,7,
2020-03-29,30,10,
2020-03-30,37,11,
2020-03-31,40,13,
2020-04-01,43,14,
2020-04-02,44,12,
2020-04-03,41,11,
2020-04-04,37,11,
2020-04-05,36,11,
2020-04-06,38,13,
2020-04-07,43,12,
2020-04-08,40,11,
2020-04-09,38,11,
2020-04-10,38,10,
2020-04-11,40,9,
2020-04-12,40,9,
2020-04-13,35,8,
2020-04-14,31,8,
2020-04-15,33,6,
2020-04-16,30,3,
2020-04-17,27,5,
2020-04-18,28,5,
2020-04-19,27,5,
2020-04-20,21,5,
2020-04-21,18,5,
2020-04-22,15,5,
2020-04-23,15,5,
2020-04-24,14,3,
2020-04-25,14,3,
2020-04-26,13,2,
2020-04-27,10,1,
2020-04-28,8,0,
2020-04-29,6,0,
2020-04-30,5,0,
2020-05-01,6,0,
2020-05-02,6,0,
2020-05-03,5,0,
2020-05-04,3,0,
2020-05-05,3,0,
2020-05-06,3,0,
2020-05-07,2,0,
2020-05-08,2,0,
2020-05-09,2,0,
2020-05-10,2,0,
2020-05-11,2,0,
2020-05-12,1,0,
2020-05-13,1,0,
2020-05-14,0,0,
2020-05-15,0,0,
2020-05-16,0,0,
2020-05-17,0,0,
2020-05-18,0,0,
2020-05-19,0,0,
2020-05-20,0,0,
2020-05-21,0,0,
2020-05-22,0,0,
2020-05-23,0,0,
2020-05-24,0,0,
2020-05-25,0,0,
2020-05-26,0,0,
2020-05-27,0,0,
2020-05-28,0,0,
2020-05-29,0,0,
2020-05-30,0,0,
2020-05-31,0,0,
2020-06-01,0,0,
2020-06-02,0,0,
2020-06-03,0,0,
2020-06-04,0,0,
2020-06-05,0,0,
2020-06-06,0,0,
2020-06-07,0,0,
2020-06-08,0,0,
2020-06-09,0,0,
2020-06-10,0,0,
2020-06-11,0,0,
2020-06-12,0,0,
2020-06-13,0,0,
2020-06-14,0,0,
2020-06-15,0,0,
2020-06-16,0,0,
2020-06-17,4,0,
2020-06-18,4,0,
2020-06-19,5,0,
2020-06-20,4,0,
2020-06-21,0,0,
2020-06-22,0,0,
2020-06-23,0,0,
2020-06-24,0,0,
2020-06-25,0,0,
2020-06-26,0,0,
2020-06-27,0,0,
2020-06-28,0,0,
2020-06-29,0,0,
2020-06-30,0,0,
2020-07-01,0,0,
2020-07-02,0,0,
2020-07-03,0,0,
2020-07-04,0,0,
2020-07-05,0,0,
2020-07-06,0,0,
2020-07-07,0,0,
2020-07-08,0,0,
2020-07-09,0,0,
2020-07-10,0,0,
2020-07-11,0,0,
2020-07-12,0,0,
2020-07-13,0,0,
2020-07-14,0,0,
2020-07-15,0,0,
2020-07-16,0,0,
2020-07-17,0,0,
2020-07-18,0,0,
2020-07-19,0,0,
2020-07-20,0,0,
2020-07-21,0,0,
2020-07-22,0,0,
2020-07-23,0,0,
2020-08-04,1,0,
2020-08-05,1,0,
2020-08-06,0,0,
2020-08-07,1,1,
2020-08-09,2,1,
2020-08-10,2,1,
2020-08-11,1,1,
2020-08-12,1,1,
2020-08-13,1,0,
2020-08-14,1,0,
2020-08-17,1,0,
2020-08-18,1,0,
2020-08-19,1,0,
2020-08-20,1,0,
2020-08-21,1,0,
2020-08-22,1,0,
2020-08-23,1,0,
2020-08-24,1,0,
2020-08-25,1,0,
2020-08-26,0,0,
2020-08-27,0,0,
2020-08-28,0,0,
2020-08-29,0,0,
2020-08-30,0,0,
2020-08-31,0,0,
2020-09-01,0,0,
2020-09-02,0,0,
2020-09-03,0,0,
2020-09-04,0,0,
2020-09-05,0,0,
2020-09-06,0,0,
2020-09-07,1,0,
